edate,VarCov_mktrf_mktrf,VarCov_expgrowth_mktrf,VarCov_expinfl_mktrf,VarCov_TP_mktrf,VarCov_creditrisk_mktrf,VarCov_expgrowth_expgrowth,VarCov_expinfl_expgrowth,VarCov_TP_expgrowth,VarCov_creditrisk_expgrowth,VarCov_expinfl_expinfl,VarCov_TP_expinfl,VarCov_creditrisk_expinfl,VarCov_TP_TP,VarCov_creditrisk_TP,VarCov_creditrisk_creditrisk
1987m8,.001973547,.00065549073,-.00047717339,-.000011847485,.000074347103,1.4182936,-.16063219,-.00037876953,.00039065175,.56087887,.00013412323,-.00026319383,.00017241015,-.000025115702,.00040517436
1987m9,.0018334846,.002667225,-.00030300612,-.000054237291,.00015634799,.8091166,-.059116848,-.0013144416,.0012779372,.062131241,.000089276029,-.00016204474,.00017037946,-.000056565819,.00035591202
1987m10,.001782549,-.000091350259,.00032611776,.00005478807,.00017152826,.5663116,-.078382641,-.0025635634,.0010597076,.075210199,.0006420025,-.00023792093,.00021326882,-.000062229221,.00029137256
1987m11,.0083188331,-.010158953,.0024414542,-.00080104923,.0025445942,.39849284,-.071159951,-.00061335228,-.002521178,.061360918,.00021107397,.00051449228,.00029067093,-.00036611877,.0011753972
1987m12,.0080530969,-.0055677267,.0013157489,-.00069254683,.0020991263,.47368112,-.09133099,-.00074043713,-.0022339076,.063676827,.00021884644,.00037890641,.00026025655,-.00030508603,.00092496187
1988m1,.0073455563,-.0022678806,.0012482866,-.00055942411,.0016972846,.37579346,-.079268791,-.00047737602,-.0015696853,.062097907,.00029435277,.000095173549,.00023869569,-.00026093796,.0007363098
1988m2,.0064689941,-.0025147144,.00049850385,-.00040033922,.0013859823,.39940026,-.079054087,-.0020018721,-.00025591074,.066205963,-.00010727425,.00017404032,.00028224027,-.00026079855,.00063750893
1988m3,.0057638711,-.00079628028,-.0003718581,-.00032265982,.0011604385,.27975559,-.079100676,-.0014490393,.00019550356,.075266816,-.00012412836,-.00014533591,.00025538748,-.00021725777,.00052146183
1988m4,.0051154448,-.00061440258,-.00010906035,-.00022970115,.00093713205,.2596494,-.07989873,-.0015455303,.00036212249,.070562154,.00021765522,-.00024128931,.00025230393,-.00018703034,.00041567901
1988m5,.0044438359,-.00034818077,-.00027245277,-.00018990639,.00076623121,.44787496,-.100917,-.0025639597,.00095143617,.059949264,.00030374012,-.00029919337,.00023738084,-.00016617119,.00034169469
1988m6,.0038860764,-.00019559315,-.00030457662,-.00014583606,.00063011813,.34672582,-.096092865,-.0024405341,.0010560505,.062660262,.00045468746,-.00039761656,.00022877767,-.00015295758,.00029034319
1988m7,.0035607591,.0017397099,-.00086317846,-.000061484032,.00050214789,.33198795,-.096693769,-.001368085,.00055976625,.06118653,.00020913417,-.00026832614,.00023148242,-.00015097077,.00026131721
1988m8,.0031696879,.00045113487,-.0042949528,-.000032383025,.00041915101,.4435454,-.095031664,-.0023364341,.0012494619,.3342739,-.001317283,.00060527492,.00022434814,-.00014365235,.00023434043
1988m9,.0029886696,-.0011149682,-.0044777156,-.000019277204,.00039414689,.3685523,-.072413348,-.002067755,.00079316978,.21283148,-.00090430555,.000073673531,.00020548828,-.00012372936,.00020572478
1988m10,.0026883062,.0025856278,-.0024077508,.000012272231,.00031778798,.73723328,-.0624221,-.00024015467,-.0013553472,.13757779,-.000068898902,-.00053990248,.00020826966,-.00014577039,.00023557176
1988m11,.0023689517,.0024599421,-.0019654492,-3.2297089e-06,.00029333937,.63169116,-.054266714,.00039210488,-.0012002027,.13146982,.0003820757,-.00070141681,.00020096413,-.00013516478,.00021059364
1988m12,.0022166092,-.00019796024,-.0021731996,.000055999019,.00023729383,.55824107,-.047766972,-.0012773698,.000025037341,.093219727,-.000075303564,-.00033828508,.00021344329,-.00013807566,.00020111116
1989m1,.0019688294,.00050057849,-.0017162556,.000025746733,.00022699358,.37376943,-.045364186,-.0011570333,.000044372842,.096271433,-.000075776603,-.00042754557,.00019531518,-.00012014802,.00017852904
1989m2,.0020579726,.010042582,-.00019499766,.000041089334,.00018897887,.91865623,-.047499001,-.0006424376,-.00041141873,.086057238,.00012509339,-.00047154681,.00018173586,-.00011002183,.00016269373
1989m3,.0019479729,.0045180004,-.0020775998,.00007924869,.0001582457,.44824576,-.045007396,-.0012044492,.00028695902,.14643382,-.00063312217,-.000086042601,.00018946566,-.00011519097,.00016180251
1989m4,.0017403876,.0035575575,-.0015112259,.000045549594,.00016257449,.33660576,-.04451929,-.0010708859,.000018028823,.13665517,-.00044280401,-.00048109723,.00017429043,-.00010371376,.00016200769
1989m5,.0016895691,.0013408437,.0018718961,.000078202938,.000069851172,.36066732,-.13719565,-.0017161769,.0014865516,.37496415,.0011037214,-.003623879,.00017653494,-.00014395222,.00025909761
1989m6,.0015811914,-.0026098094,.0017076277,.000092055074,.000071489878,1.0115312,-.22143668,-.0051005697,.0041071372,.21339689,.0012864883,-.0027099377,.00018490184,-.0001491328,.00025418264
1989m7,.0014836985,.00093266339,.0001543496,-.000016031394,.00016977474,.89936101,-.18837096,-.0062038624,.0052904096,.13252336,.0014972285,-.0024046439,.0002285662,-.00019334059,.00030306782
1989m8,.0017874481,-.0090538431,.0025091763,.000071976618,.000041897754,1.3633274,-.27980745,-.0080357268,.0082228193,.14707948,.001777458,-.0028440631,.00022437882,-.00020243286,.0003325732
1989m9,.0016016054,-.0062692985,.0016580336,.000032360142,.000092690629,1.1179317,-.24164255,-.0037593346,.0048623765,.11740103,.00069126097,-.0017416802,.00025312984,-.0001994496,.00030266869
1989m10,.0014738998,-.0022219431,.00053629006,.000018906307,.00016621778,.49842507,-.15737134,-.0021595859,.0036088696,.10426689,.00050431374,-.0019044096,.00022904102,-.00017500405,.00033068025
1989m11,.0015766957,.0028004895,-.0020162314,-.000093319279,.00047723774,.62575114,-.22675261,-.0036517656,.0081391325,.15224217,.0013569436,-.0044292971,.00023918794,-.00028012265,.00068048696
1989m12,.0014189157,.0025325294,-.0014772214,-.000081876577,.00041087749,.6852988,-.20520867,-.0034165585,.0071231797,.10882726,.0010209854,-.0030947467,.00021698925,-.00023598828,.00055057846
1990m1,.0012845418,.002044182,-.0013195536,-.00007371157,.00035505657,.62393755,-.22071318,-.0024045417,.0056887083,.13107032,.00072185195,-.0027968867,.00019985816,-.00019469702,.00044697215
1990m2,.0020597237,.010516312,-.016806493,.00016077141,.00040584611,.70773935,-.49642974,-.00017726443,.0055785659,.5858134,-.0023787802,-.0053091133,.00022243927,-.00013951852,.00038463966
1990m3,.0018317847,.01245449,-.0077225012,.00011377413,.00037681745,2.0907078,-.4335762,.00066490908,.012759307,.17658547,-.0010943902,-.0029868663,.00020447122,-.00012245052,.00041855036
1990m4,.0016455792,.0087357992,-.006190924,.000069960399,.00034052855,1.9086483,-.45557144,.0010820928,.008402803,.19673587,-.0011394684,-.0021369192,.00019140223,-.00011908733,.00035142989
1990m5,.001691532,.0070880242,-.0068370616,.0001178775,.00025677157,.77765685,-.29438767,.0011191807,.003799296,.19701588,-.0014867143,-.0012446727,.00019761655,-.00012949375,.00031715573
1990m6,.0021571454,-.0053427359,-.0020184615,.0002448225,.000099005309,1.4861224,-.47632778,-.0029443284,.0076632896,.24856137,.000010721902,-.0023222843,.00021804892,-.0001645149,.00033981845
1990m7,.0019627539,-.0014346751,-.0024129576,.00016232561,.00013408596,1.1706429,-.38886502,-.0032183588,.00554787,.20460607,.0004273442,-.0017755672,.00020498275,-.00014397001,.00028062731
1990m8,.0018422663,.0043395613,-.0037918577,.000097145581,.00013585022,1.9100245,-.56128585,-.0045156097,.0041919095,.24866684,.00075959106,-.0012120066,.00019003931,-.00012292253,.00024275671
1990m9,.0030621877,.036967527,-.02427954,.00031659138,.00055381714,3.7287896,-1.5226877,.0010554964,.014022819,.86785889,-.0025701777,-.0072697941,.00021176915,-.000045337496,.00036585529
1990m10,.0032628353,.071515217,-.034369431,.00022691561,.0010224439,8.8419495,-3.069289,-.0009685948,.049380843,1.4400094,-.0019006412,-.018694852,.00019384755,-.000089901536,.00092648668
1990m11,.0029542579,.078801192,-.045362297,.00013736906,.00099984708,12.844554,-5.5814342,-.0063458639,.061268028,3.2083988,.00081632723,-.029391021,.00018621885,-.0001319398,.00096542115
1990m12,.0029301066,.040575124,-.024035532,.00017460744,.00078301743,7.8792801,-3.323642,-.008329384,.0411232,1.8816561,.0023874228,-.019371625,.00019183043,-.00014727865,.0008043109
1991m1,.0026011185,.030973053,-.016076755,.0001340122,.000646186,9.7912617,-3.3189638,-.011406225,.035240818,1.518586,.0029376261,-.013692385,.0001831969,-.00013726696,.00062804978
1991m2,.0024543072,.013343934,-.0078024594,.00010861348,.00053426059,8.4374914,-2.5384536,-.010555223,.025584135,1.0390385,.0025231724,-.008924461,.00017079232,-.00012653197,.00049530144
1991m3,.0026152176,-.0035956637,-.0012668838,.000067499786,.00097385957,5.7843657,-1.5675386,-.0074781035,.0069495183,.58531493,.0015937324,-.002714779,.00015827516,-.00014609535,.0010114864
1991m4,.0023390907,-.0019295135,-.00046988571,.000037101428,.00087133306,1.6396544,-.38427934,-.0035355934,.0020426137,.12805976,.00064899767,-.0008744509,.00014763554,-.00014366655,.00091881421
1991m5,.0020876818,.001059265,-.0010445018,6.0979296e-06,.00071203499,1.6807438,-.40218452,-.0040253378,-.00032723116,.13639985,.00080281228,-.00025200326,.00014131409,-.00012441979,.00079257198
1991m6,.0019382293,-.0016303615,-.00013424866,-.000012486064,.00057154946,1.2609543,-.32813478,-.0028538485,.0007959549,.12182189,.0005944015,-.00047925444,.00013334026,-.00011651013,.00062470126
1991m7,.0021268341,.0020431164,-.00055451528,.000031099225,.00039416162,.51291168,-.14259912,-.0013401558,.0001051839,.059058614,.00032659655,-.0002824745,.00012996759,-.00012280744,.00054195273
1991m8,.0020128291,.00088262127,.0013224558,.000039176681,.00037610054,.29249856,-.16694759,-.0011188736,.00015374189,.16926599,.00096062379,-.000078213037,.00012720595,-.00010673756,.00043719701
1991m9,.0018128603,.00095892308,.0010773605,.000046668025,.00032781312,.24664791,-.13045317,-.0008756087,.00027644591,.13191013,.0012485612,-.00035868972,.00014838595,-.00010671208,.0003605409
1991m10,.0016949844,.0018390797,-.000013915293,-.000023832874,.00033886687,.27721766,-.11586916,-.0013393513,.00075834006,.089806981,.0011539672,-.00056138611,.00016096196,-.00012038679,.00032631806
1991m11,.0015211982,.0019064602,-.0001028552,-.000026793383,.00031932959,.85258383,-.22091322,-.0025175747,-.0017926452,.10388346,.0011378201,-.000046735171,.00015135464,-.00010467357,.00032501703
1991m12,.0016754559,.019073542,-.0021361886,-.00006515612,.0002985902,2.5619743,-.41253993,-.0050379094,-.00066791946,.11680079,.0011700953,-.00024527716,.00014430974,-.000098118202,.00027023975
1992m1,.0026234614,-.014542892,.0026231688,.00027871033,-.000032764823,5.4397626,-.72853845,-.015947869,.010094094,.158136,.0023764479,-.0016965674,.00021299839,-.00018757058,.00036758353
1992m2,.0023405196,-.0064861211,.0011663773,.00023617291,-.000026199757,3.4035575,-.44375762,-.0083617643,.0003593968,.093590267,.0012174149,-.00034631629,.00022610357,-.00028367364,.00071137422
1992m3,.0020716053,-.0040075844,.0007884418,.00017502216,.000053553635,2.7825434,-.43666926,-.0065458925,-.00059843936,.10801227,.0010812667,-.00012897416,.00020532924,-.00023782511,.00057990267
1992m4,.0019909057,.00028474376,.00028646149,.00015830058,.000063748696,.84080535,-.16826397,-.0028041578,-.00053662236,.055609472,.00066621444,-.00015894264,.00019540513,-.00021590163,.00050226226
1992m5,.0017728958,.00047490161,.000080916019,.00011081539,.00011252983,.48581952,-.13298048,-.0020337079,1.6923940e-06,.060539052,.00062178966,-.00023445227,.00017972128,-.00018153116,.00040093495
1992m6,.0015913884,.0011236031,-.00020595593,.000060925733,.00015442249,.47765332,-.13721706,-.0026545064,.00088832411,.065440856,.00076114136,-.00043933015,.00018430331,-.00017294743,.00035354478
1992m7,.0015560831,.0034908685,-.0013199984,-6.7691708e-06,.00019687111,.49368116,-.16187909,-.003000766,.0013222976,.08562883,.001004272,-.00064896833,.00017980466,-.00015567846,.00030031896
1992m8,.0014922922,.0016841347,-.00092601246,.000055422497,.00016339395,.30965805,-.10135636,-.002554666,.0012533092,.055430464,.00069039798,-.00049131468,.00020664679,-.00015940136,.00027590399
1992m9,.0014744699,.0062427744,-.0005148768,8.2411098e-06,.0001655021,.64898092,-.12354457,-.0036227191,.0013108256,.059739001,.00054745434,-.00046560826,.00019221412,-.00013612144,.0002320463
1992m10,.0013321543,.0044604596,-.00053670339,-1.0738262e-06,.00016895679,.51845682,-.12637226,-.0034125547,.0013901857,.069473647,.00071032904,-.00055127032,.00018761176,-.00012577372,.00020503077
1992m11,.0012099849,.0061971238,-.00058165216,-.000012251827,.00016935014,2.5726907,-.29957461,.00099479046,.0019128862,.07966885,.00021896318,-.00049527601,.00019738841,-.00011004791,.00017918355
1992m12,.0012213897,.0019024103,.000095487987,-.000037455418,.00020647875,.36936158,-.10932504,.00016622915,.00065570493,.074451864,.00012906194,-.00024932908,.0001828625,-.00010617851,.00017583356
1993m1,.0011191115,.0021166927,-.000080724982,-.000027859662,.00018969286,.40258718,-.096956573,.00061296852,.00012431077,.055143137,.00013947462,-.00023958305,.00018460896,-.00011485351,.00017947772
1993m2,.0010279376,.002092818,-.00021533166,-.000030512285,.00018087632,.51179922,-.12279154,.0015674517,-.000016288419,.06426923,-.00011167074,-.00020328656,.00019849493,-.00010910165,.00016312928
1993m3,.00095784978,.0013001057,-.00079431734,-.000049235063,.00018525876,.49963149,-.12098704,.0019730488,-.00043884269,.11184542,.00066589954,-.0007006973,.00020658769,-.00011693933,.00016372956
1993m4,.00091095566,.00072180969,-.000091221576,-.000045422992,.00019828884,.28872505,-.11669757,.0010241921,-.00034377945,.15806714,.00067965459,-.00012635444,.00018874128,-.00010695651,.0001708632
1993m5,.0010343103,.00039041581,-.0027151415,-.000067640809,.00020696303,.24958351,-.11638501,.00061987387,-.00016299137,.19647856,.00091075542,-.00050401571,.00017566873,-.00010076202,.00015911358
1993m6,.00099806837,-.0012037959,-.0012471749,-.000069570764,.0002141493,.49172539,-.12452459,.0007733081,-.00082982291,.094123051,.00047814276,-.00019037146,.00016374372,-.000097800963,.00015886518
1993m7,.00092929445,.00022065939,-.0013557476,-.000074278338,.00020937364,.9590326,-.20454435,-.0024857807,.0010554708,.10394344,.0010292738,-.00058051961,.00018368501,-.00011331779,.00016654616
1993m8,.00088501861,.003843751,-.001214792,-.000069705879,.00019317851,1.9442095,-.24585825,-.0035840746,.0016060612,.072356358,.00076823996,-.00045596037,.00016997357,-.00010223652,.00015083184
1993m9,.00091578823,-.00085979799,.000098032622,8.3393606e-06,.00010773808,1.6945971,-.32472441,-.005414512,.0046103247,.12566559,.0016484652,-.0016224962,.00018870851,-.00014784615,.00022284134
1993m10,.00086749298,.0008806418,-.000050323877,-3.4048339e-06,.00011982536,1.0722073,-.16739114,-.0038155233,.0031823828,.056083765,.00092471787,-.00089471944,.00017359883,-.00012845013,.00019311646
1993m11,.00081535225,.00054287876,.00014302497,-.000010566338,.0001334667,.63136876,-.23315859,-.0026211624,.001550568,.18181437,.0012559535,-.00045646538,.00016072756,-.00011456215,.00018772323
1993m12,.00086137222,.0015603936,.00021152354,.000035979414,.000084246516,.35756823,-.10453149,-.0012710051,.00061708014,.06786947,.00076017418,-.00041786444,.00016563377,-.0001292442,.0002090959
1994m1,.00081329589,.0032892297,-.00017304893,.000019916559,.000099111727,.91791928,-.20815063,-.0015480206,.00083362701,.093725882,.00071156677,-.00043297181,.00015395069,-.0001134773,.00018216757
1994m2,.0008088118,.0038380006,-.00060470973,.000034506265,.00010390642,.65030026,-.16095342,-.00050021923,.00058711099,.075649224,.00034870263,-.00033275562,.00015389702,-.00010216449,.00016293855
1994m3,.00090472569,.0011459748,-.0003220712,.00012248618,.000054262804,.3838273,-.1074909,-.0013290481,.00099290407,.056964818,.00038867616,-.00036329014,.00019294882,-.00012769595,.00017997116
1994m4,.0012225262,-.00057810993,.00046557171,.00023973908,.00012124564,.29896009,-.10202979,-.0017175179,.00063574209,.064294539,.00069589925,-.00026670189,.0002315841,-.000094899311,.00016926977
1994m5,.0011171451,-.00027278019,.00032276774,.00018481529,.00013358641,.27237841,-.10951857,-.0017024002,.00037341111,.080728218,.00088949403,-.000032157302,.00022023702,-.000079329606,.00017397077
1994m6,.0010278623,-.00019465915,.00023459292,.00013810453,.00013689639,.37265304,-.14814718,-.0019923274,.00041989883,.10136463,.00095610734,-.00008014265,.00020226646,-.000076420198,.00015621791
1994m7,.0011323497,-.0021461349,.0014913845,.00012431154,.00012926252,.39613754,-.16852197,-.0021212432,.00058619492,.11854359,.0010527562,-.00022138817,.00018816211,-.00007568398,.0001435434
1994m8,.0010792119,-.0010752683,.00049813476,.00011500942,.000085203901,.25169194,-.10717964,-.0014653213,.0004506167,.078655891,.00047776848,.00025858395,.00019022186,-.00012483564,.00025259278
1994m9,.0011010802,.00023895188,-.0003619091,.000066728819,.00010848494,.27599114,-.11040051,-.0014919249,.00055027701,.075439818,.00048590137,.000077496727,.00017594676,-.00011191143,.00021534816
1994m10,.0011349465,-.00041188911,.00047606655,.00010865065,.000071839349,.27414212,-.12015238,-.0017757538,.00094852044,.090347566,.00095698447,-.00042001216,.00019033944,-.00013217427,.00022944451
1994m11,.001043165,.00028933096,.0001216126,.000072618786,.000092953705,.48882127,-.14621148,-.0023988669,.0010980488,.075602278,.00081831793,-.00037086607,.00017691893,-.00011650666,.00019731441
1994m12,.0012495961,-.0021800476,.0018972966,.000085042455,.00017990654,.408021,-.16328517,-.0022463067,.00032820069,.10941082,.001039275,.00002927447,.00016711786,-.000098309982,.00020151208
1995m1,.001139508,-.0015694558,.0013701203,.000056117249,.00017342181,.5120464,-.1987749,-.0020288865,.00029850274,.12328933,.00085169106,-2.3237985e-06,.00015523049,-.000090836569,.00017724937
1995m2,.0010535656,-.00054049556,.00056240568,.000046359233,.00016069951,.27229503,-.10903476,-.001122887,.00014693385,.071229443,.00035674919,.00008421408,.00016002035,-.00010473155,.00018627278
1995m3,.0010541552,-.000099285207,-.00063109637,.000077303994,.0001502622,.24572892,-.11647272,-.00095650094,.00023663306,.10123264,-.0001936725,.000060880739,.00017042537,-.000096133786,.00016609051
1995m4,.00098968681,-.00094606954,-.0012125277,.000051859937,.00015136965,.45875144,-.1238135,-.0012693431,.00026136282,.12797394,-.00013753821,-.00010051925,.00015804257,-.000088544693,.00015061533
1995m5,.00093269639,-.0024266066,-.00099346368,.000041798565,.00015167671,.92917758,-.10778869,-.0028004793,.00020010685,.071294539,-.00013146662,-.00014842121,.0001525556,-.000080418336,.00013925586
1995m6,.00091214757,-.0039241631,-.0016424167,.00010254738,.000099189507,1.0078692,-.10076694,-.006160147,.0032113355,.093773477,-.0010731823,.00052208593,.00024570717,-.00016722339,.000216464
1995m7,.00088691991,-.0065140533,-.0018475028,.000076082913,.00009918282,1.5926329,-.094524249,-.0065349662,.0041737691,.090602323,-.0008278265,.00044470918,.00022261107,-.00014679124,.00019498204
1995m8,.00091741246,-.0079197874,-.0045902887,.000024349429,.00015483085,1.4127576,-.068060234,-.0042572645,.0018175953,.22694884,-.00024342192,-.00059257931,.00020869711,-.00014282079,.00020082324
1995m9,.00085749681,-.002800999,-.0033349872,7.4899976e-06,.00016742545,.34020588,-.049705468,-.0019720991,.0010867437,.20705329,-.00037246541,.00014005504,.00019415945,-.00014164812,.00022227946
1995m10,.00087034178,-.00077154033,-.0029668054,.000010783969,.00014545894,.34711546,-.06806612,-.0015709874,.00076418847,.13440695,-.00029664009,.00013401471,.00018000226,-.00012687303,.00019765196
1995m11,.00088574341,-.0010934146,.00029434598,-.00003233803,.00017971067,.29729021,-.17032655,-.0010256666,.00039074593,.61791641,-.0020148163,.0017741722,.00017547586,-.00012662716,.00019604978
1995m12,.00093231665,-.0031377904,-.00069531135,6.3139673e-06,.0001213353,.44557232,-.10456841,-.0019529141,.0016621379,.17945583,-.0010226844,.00099232886,.00017155813,-.00013368129,.00021452231
1996m1,.00086841476,-.0017323912,-.00075835723,-2.6799087e-06,.0001279353,.28791022,-.10199066,-.0012141338,.0010502607,.18608224,-.0011295701,.00089156907,.00016623855,-.00012260809,.00019252526
1996m2,.00083333225,-.0057549323,-.001182805,-7.4691620e-06,.00014153135,1.4638454,-.086400904,-.0024286052,.000010563024,.15560937,-.00080403802,.00033551198,.00015465057,-.00010807211,.0001764903
1996m3,.00078540482,-.0026044778,-.0014293478,-.000024939132,.00016455652,.50632441,-.062965006,-.00048236133,-.00060028752,.20606199,.00072608609,-.0010776365,.0001964234,-.00016789496,.00025461579
1996m4,.00074342015,-.0016020647,-.0011033476,-.000023533645,.00015837034,.50340366,-.055797096,.00013118617,-.0003402525,.18001027,.0010679095,-.00089167367,.00019439745,-.0001439638,.00021615012
1996m5,.00072100922,-.00038337387,-.0011369854,-.000040698626,.00016049106,.35997173,-.060223449,-.0004535976,.000092364731,.11516684,.00097925274,-.00074828323,.00018841118,-.00013116554,.00019267539
1996m6,.00071051577,.00015170887,-.00068720616,-.000049841885,.00016254027,.26136449,-.044340417,-.00055650098,.00024788352,.056597974,.00057963404,-.00045655679,.00017647634,-.00011905159,.00017459701
1996m7,.00072925776,-.00079481228,-.00016315583,-.000067103043,.00020169864,.33824205,-.075570151,-.00030441175,-.00035993665,.077795126,.00038579892,-.00013358876,.00016848436,-.00012401321,.00019754305
1996m8,.0012456636,-.010451781,.0017388855,-.000036101312,.00016444735,.74784869,-.14647885,-.00090346177,-.000024182727,.090380296,.00043582503,-.00021331008,.00015672213,-.00010979888,.0001737947
1996m9,.0011734874,-.0050096256,.00090192555,-.000048588478,.00017985304,.30165976,-.082432829,-.00075349736,.00027506636,.063083112,.0004043215,-.00030337213,.00015017486,-.00010777916,.00017294766
1996m10,.0012642347,-.0029993674,.00027576339,7.2774924e-06,.00015642022,.26272523,-.077920146,-.00051264704,.00025786512,.058662619,.00024129817,-.00025469327,.00015211455,-.00010102193,.00015862891
1996m11,.0011520138,-.0021182462,.0001245115,-4.2018728e-06,.00016906847,.24748781,-.088540673,-.00042491575,.00017280519,.077823818,-.00018082,.00029279088,.00016767367,-.0001460377,.00024001361
1996m12,.0013781467,.00078318332,-.0011387663,.000061059553,.00013525385,.32262421,-.1075706,.000015755595,.000041279964,.078090072,-.0003481546,.00025672285,.00016904762,-.00013372621,.00021261266
1997m1,.0013301725,.00057706848,.000091636895,.000078395598,.00010040814,.25218433,-.12877533,-.00029743841,.00034282907,.15989308,.00059184147,-.00095743668,.00017518795,-.00015387122,.00025183259
1997m2,.0013953011,.0023841809,-.00072537607,.000037500995,.00012482477,.30916342,-.10900163,-.00060408254,.00051404035,.085047089,.00045214538,-.00063702581,.00016309175,-.00013309452,.00021468807
