"date","r_f_t"
"1926m7","0.0022"
"1926m8","0.0025"
"1926m9","0.0023"
"1926m10","0.0032"
"1926m11","0.0031"
"1926m12","0.0028"
"1927m1","0.0025"
"1927m2","0.0026"
"1927m3","0.003"
"1927m4","0.0025"
"1927m5","0.003"
"1927m6","0.0026"
"1927m7","0.003"
"1927m8","0.0028"
"1927m9","0.0021"
"1927m10","0.0025"
"1927m11","0.0021"
"1927m12","0.0022"
"1928m1","0.0025"
"1928m2","0.0033"
"1928m3","0.0029"
"1928m4","0.0022"
"1928m5","0.0032"
"1928m6","0.0031"
"1928m7","0.0032"
"1928m8","0.0032"
"1928m9","0.0027"
"1928m10","0.0041"
"1928m11","0.0038"
"1928m12","0.0006"
"1929m1","0.0034"
"1929m2","0.0036"
"1929m3","0.0034"
"1929m4","0.0036"
"1929m5","0.0044"
"1929m6","0.0052"
"1929m7","0.0033"
"1929m8","0.004"
"1929m9","0.0035"
"1929m10","0.0046"
"1929m11","0.0037"
"1929m12","0.0037"
"1930m1","0.0014"
"1930m2","0.003"
"1930m3","0.0035"
"1930m4","0.0021"
"1930m5","0.0026"
"1930m6","0.0027"
"1930m7","0.002"
"1930m8","0.0009"
"1930m9","0.0022"
"1930m10","0.0009"
"1930m11","0.0013"
"1930m12","0.0014"
"1931m1","0.0015"
"1931m2","0.0004"
"1931m3","0.0013"
"1931m4","0.0008"
"1931m5","0.0009"
"1931m6","0.0008"
"1931m7","0.0006"
"1931m8","0.0003"
"1931m9","0.0003"
"1931m10","0.001"
"1931m11","0.0017"
"1931m12","0.0012"
"1932m1","0.0023"
"1932m2","0.0023"
"1932m3","0.0016"
"1932m4","0.0011"
"1932m5","0.0006"
"1932m6","0.0002"
"1932m7","0.0003"
"1932m8","0.0003"
"1932m9","0.0003"
"1932m10","0.0002"
"1932m11","0.0002"
"1932m12","0.0001"
"1933m1","0.0001"
"1933m2","-0.0003"
"1933m3","0.0004"
"1933m4","0.001"
"1933m5","0.0004"
"1933m6","0.0002"
"1933m7","0.0002"
"1933m8","0.0003"
"1933m9","0.0002"
"1933m10","0.0001"
"1933m11","0.0002"
"1933m12","0.0002"
"1934m1","0.0005"
"1934m2","0.0002"
"1934m3","0.0002"
"1934m4","0.0001"
"1934m5","0.0001"
"1934m6","0.0001"
"1934m7","0.0001"
"1934m8","0.0001"
"1934m9","0.0001"
"1934m10","0.0001"
"1934m11","0.0001"
"1934m12","0.0001"
"1935m1","0.0001"
"1935m2","0.0002"
"1935m3","0.0001"
"1935m4","0.0001"
"1935m5","0.0001"
"1935m6","0.0001"
"1935m7","0.0001"
"1935m8","0.0001"
"1935m9","0.0001"
"1935m10","0.0001"
"1935m11","0.0002"
"1935m12","0.0001"
"1936m1","0.0001"
"1936m2","0.0001"
"1936m3","0.0002"
"1936m4","0.0002"
"1936m5","0.0002"
"1936m6","0.0003"
"1936m7","0.0001"
"1936m8","0.0002"
"1936m9","0.0001"
"1936m10","0.0002"
"1936m11","0.0001"
"1936m12","0"
"1937m1","0.0001"
"1937m2","0.0002"
"1937m3","0.0001"
"1937m4","0.0003"
"1937m5","0.0006"
"1937m6","0.0003"
"1937m7","0.0003"
"1937m8","0.0002"
"1937m9","0.0004"
"1937m10","0.0002"
"1937m11","0.0002"
"1937m12","0"
"1938m1","0"
"1938m2","0"
"1938m3","-0.0001"
"1938m4","0.0001"
"1938m5","0"
"1938m6","0"
"1938m7","-0.0001"
"1938m8","0"
"1938m9","0.0002"
"1938m10","0.0001"
"1938m11","-0.0006"
"1938m12","0"
"1939m1","-0.0001"
"1939m2","0.0001"
"1939m3","-0.0001"
"1939m4","0"
"1939m5","0.0001"
"1939m6","0.0001"
"1939m7","0"
"1939m8","-0.0001"
"1939m9","0.0001"
"1939m10","0"
"1939m11","0"
"1939m12","0"
"1940m1","0"
"1940m2","0"
"1940m3","0"
"1940m4","0"
"1940m5","-0.0002"
"1940m6","0"
"1940m7","0.0001"
"1940m8","-0.0001"
"1940m9","0"
"1940m10","0"
"1940m11","0"
"1940m12","0"
"1941m1","-0.0001"
"1941m2","-0.0001"
"1941m3","0.0001"
"1941m4","-0.0001"
"1941m5","0"
"1941m6","0"
"1941m7","0.0003"
"1941m8","0.0001"
"1941m9","0.0001"
"1941m10","0"
"1941m11","0"
"1941m12","0.0001"
"1942m1","0.0002"
"1942m2","0.0001"
"1942m3","0.0001"
"1942m4","0.0001"
"1942m5","0.0003"
"1942m6","0.0002"
"1942m7","0.0003"
"1942m8","0.0003"
"1942m9","0.0003"
"1942m10","0.0003"
"1942m11","0.0003"
"1942m12","0.0003"
"1943m1","0.0003"
"1943m2","0.0003"
"1943m3","0.0003"
"1943m4","0.0003"
"1943m5","0.0003"
"1943m6","0.0003"
"1943m7","0.0003"
"1943m8","0.0003"
"1943m9","0.0003"
"1943m10","0.0003"
"1943m11","0.0003"
"1943m12","0.0003"
"1944m1","0.0003"
"1944m2","0.0003"
"1944m3","0.0002"
"1944m4","0.0003"
"1944m5","0.0003"
"1944m6","0.0003"
"1944m7","0.0003"
"1944m8","0.0003"
"1944m9","0.0002"
"1944m10","0.0003"
"1944m11","0.0003"
"1944m12","0.0002"
"1945m1","0.0003"
"1945m2","0.0002"
"1945m3","0.0002"
"1945m4","0.0003"
"1945m5","0.0003"
"1945m6","0.0002"
"1945m7","0.0003"
"1945m8","0.0003"
"1945m9","0.0003"
"1945m10","0.0003"
"1945m11","0.0002"
"1945m12","0.0003"
"1946m1","0.0003"
"1946m2","0.0003"
"1946m3","0.0003"
"1946m4","0.0003"
"1946m5","0.0003"
"1946m6","0.0003"
"1946m7","0.0003"
"1946m8","0.0003"
"1946m9","0.0003"
"1946m10","0.0003"
"1946m11","0.0003"
"1946m12","0.0003"
"1947m1","0.0003"
"1947m2","0.0003"
"1947m3","0.0003"
"1947m4","0.0003"
"1947m5","0.0003"
"1947m6","0.0003"
"1947m7","0.0003"
"1947m8","0.0003"
"1947m9","0.0006"
"1947m10","0.0006"
"1947m11","0.0006"
"1947m12","0.0008"
"1948m1","0.0007"
"1948m2","0.0007"
"1948m3","0.0009"
"1948m4","0.0008"
"1948m5","0.0008"
"1948m6","0.0009"
"1948m7","0.0008"
"1948m8","0.0009"
"1948m9","0.0004"
"1948m10","0.0004"
"1948m11","0.0004"
"1948m12","0.0004"
"1949m1","0.001"
"1949m2","0.0009"
"1949m3","0.001"
"1949m4","0.0009"
"1949m5","0.001"
"1949m6","0.001"
"1949m7","0.0009"
"1949m8","0.0009"
"1949m9","0.0009"
"1949m10","0.0009"
"1949m11","0.0008"
"1949m12","0.0009"
"1950m1","0.0009"
"1950m2","0.0009"
"1950m3","0.001"
"1950m4","0.0009"
"1950m5","0.001"
"1950m6","0.001"
"1950m7","0.001"
"1950m8","0.001"
"1950m9","0.001"
"1950m10","0.0012"
"1950m11","0.0011"
"1950m12","0.0011"
"1951m1","0.0013"
"1951m2","0.001"
"1951m3","0.0011"
"1951m4","0.0013"
"1951m5","0.0012"
"1951m6","0.0012"
"1951m7","0.0013"
"1951m8","0.0013"
"1951m9","0.0012"
"1951m10","0.0016"
"1951m11","0.0011"
"1951m12","0.0012"
"1952m1","0.0015"
"1952m2","0.0012"
"1952m3","0.0011"
"1952m4","0.0012"
"1952m5","0.0013"
"1952m6","0.0015"
"1952m7","0.0015"
"1952m8","0.0015"
"1952m9","0.0016"
"1952m10","0.0014"
"1952m11","0.001"
"1952m12","0.0016"
"1953m1","0.0016"
"1953m2","0.0014"
"1953m3","0.0018"
"1953m4","0.0016"
"1953m5","0.0017"
"1953m6","0.0018"
"1953m7","0.0015"
"1953m8","0.0017"
"1953m9","0.0016"
"1953m10","0.0013"
"1953m11","0.0008"
"1953m12","0.0013"
"1954m1","0.0011"
"1954m2","0.0007"
"1954m3","0.0008"
"1954m4","0.0009"
"1954m5","0.0005"
"1954m6","0.0006"
"1954m7","0.0005"
"1954m8","0.0005"
"1954m9","0.0009"
"1954m10","0.0007"
"1954m11","0.0006"
"1954m12","0.0008"
"1955m1","0.0008"
"1955m2","0.0009"
"1955m3","0.001"
"1955m4","0.001"
"1955m5","0.0014"
"1955m6","0.001"
"1955m7","0.001"
"1955m8","0.0016"
"1955m9","0.0016"
"1955m10","0.0018"
"1955m11","0.0017"
"1955m12","0.0018"
"1956m1","0.0022"
"1956m2","0.0019"
"1956m3","0.0015"
"1956m4","0.0019"
"1956m5","0.0023"
"1956m6","0.002"
"1956m7","0.0022"
"1956m8","0.0017"
"1956m9","0.0018"
"1956m10","0.0025"
"1956m11","0.002"
"1956m12","0.0024"
"1957m1","0.0027"
"1957m2","0.0024"
"1957m3","0.0023"
"1957m4","0.0025"
"1957m5","0.0026"
"1957m6","0.0024"
"1957m7","0.003"
"1957m8","0.0025"
"1957m9","0.0026"
"1957m10","0.0029"
"1957m11","0.0028"
"1957m12","0.0024"
"1958m1","0.0028"
"1958m2","0.0012"
"1958m3","0.0009"
"1958m4","0.0008"
"1958m5","0.0011"
"1958m6","0.0003"
"1958m7","0.0007"
"1958m8","0.0004"
"1958m9","0.0019"
"1958m10","0.0018"
"1958m11","0.0011"
"1958m12","0.0022"
"1959m1","0.0021"
"1959m2","0.0019"
"1959m3","0.0022"
"1959m4","0.002"
"1959m5","0.0022"
"1959m6","0.0025"
"1959m7","0.0025"
"1959m8","0.0019"
"1959m9","0.0031"
"1959m10","0.003"
"1959m11","0.0026"
"1959m12","0.0034"
"1960m1","0.0033"
"1960m2","0.0029"
"1960m3","0.0035"
"1960m4","0.0019"
"1960m5","0.0027"
"1960m6","0.0024"
"1960m7","0.0013"
"1960m8","0.0017"
"1960m9","0.0016"
"1960m10","0.0022"
"1960m11","0.0013"
"1960m12","0.0016"
"1961m1","0.0019"
"1961m2","0.0014"
"1961m3","0.002"
"1961m4","0.0017"
"1961m5","0.0018"
"1961m6","0.002"
"1961m7","0.0018"
"1961m8","0.0014"
"1961m9","0.0017"
"1961m10","0.0019"
"1961m11","0.0015"
"1961m12","0.0019"
"1962m1","0.0024"
"1962m2","0.002"
"1962m3","0.002"
"1962m4","0.0022"
"1962m5","0.0024"
"1962m6","0.002"
"1962m7","0.0027"
"1962m8","0.0023"
"1962m9","0.0021"
"1962m10","0.0025"
"1962m11","0.002"
"1962m12","0.0023"
"1963m1","0.0025"
"1963m2","0.0023"
"1963m3","0.0023"
"1963m4","0.0025"
"1963m5","0.0024"
"1963m6","0.0023"
"1963m7","0.0027"
"1963m8","0.0025"
"1963m9","0.0027"
"1963m10","0.0029"
"1963m11","0.0027"
"1963m12","0.0029"
"1964m1","0.003"
"1964m2","0.0026"
"1964m3","0.0031"
"1964m4","0.0029"
"1964m5","0.0026"
"1964m6","0.003"
"1964m7","0.003"
"1964m8","0.0028"
"1964m9","0.0028"
"1964m10","0.0029"
"1964m11","0.0029"
"1964m12","0.0031"
"1965m1","0.0028"
"1965m2","0.003"
"1965m3","0.0036"
"1965m4","0.0031"
"1965m5","0.0031"
"1965m6","0.0035"
"1965m7","0.0031"
"1965m8","0.0033"
"1965m9","0.0031"
"1965m10","0.0031"
"1965m11","0.0035"
"1965m12","0.0033"
"1966m1","0.0038"
"1966m2","0.0035"
"1966m3","0.0038"
"1966m4","0.0034"
"1966m5","0.0041"
"1966m6","0.0038"
"1966m7","0.0035"
"1966m8","0.0041"
"1966m9","0.004"
"1966m10","0.0045"
"1966m11","0.004"
"1966m12","0.004"
"1967m1","0.0043"
"1967m2","0.0036"
"1967m3","0.0039"
"1967m4","0.0032"
"1967m5","0.0033"
"1967m6","0.0027"
"1967m7","0.0031"
"1967m8","0.0031"
"1967m9","0.0032"
"1967m10","0.0039"
"1967m11","0.0036"
"1967m12","0.0033"
"1968m1","0.004"
"1968m2","0.0039"
"1968m3","0.0038"
"1968m4","0.0043"
"1968m5","0.0045"
"1968m6","0.0043"
"1968m7","0.0048"
"1968m8","0.0042"
"1968m9","0.0043"
"1968m10","0.0044"
"1968m11","0.0042"
"1968m12","0.0043"
"1969m1","0.0053"
"1969m2","0.0046"
"1969m3","0.0046"
"1969m4","0.0053"
"1969m5","0.0048"
"1969m6","0.0051"
"1969m7","0.0053"
"1969m8","0.005"
"1969m9","0.0062"
"1969m10","0.006"
"1969m11","0.0052"
"1969m12","0.0064"
"1970m1","0.006"
"1970m2","0.0062"
"1970m3","0.0057"
"1970m4","0.005"
"1970m5","0.0053"
"1970m6","0.0058"
"1970m7","0.0052"
"1970m8","0.0053"
"1970m9","0.0054"
"1970m10","0.0046"
"1970m11","0.0046"
"1970m12","0.0042"
"1971m1","0.0038"
"1971m2","0.0033"
"1971m3","0.003"
"1971m4","0.0028"
"1971m5","0.0029"
"1971m6","0.0037"
"1971m7","0.004"
"1971m8","0.0047"
"1971m9","0.0037"
"1971m10","0.0037"
"1971m11","0.0037"
"1971m12","0.0037"
"1972m1","0.0029"
"1972m2","0.0025"
"1972m3","0.0027"
"1972m4","0.0029"
"1972m5","0.003"
"1972m6","0.0029"
"1972m7","0.0031"
"1972m8","0.0029"
"1972m9","0.0034"
"1972m10","0.004"
"1972m11","0.0037"
"1972m12","0.0037"
"1973m1","0.0044"
"1973m2","0.0041"
"1973m3","0.0046"
"1973m4","0.0052"
"1973m5","0.0051"
"1973m6","0.0051"
"1973m7","0.0064"
"1973m8","0.007"
"1973m9","0.0068"
"1973m10","0.0065"
"1973m11","0.0056"
"1973m12","0.0064"
"1974m1","0.0063"
"1974m2","0.0058"
"1974m3","0.0056"
"1974m4","0.0075"
"1974m5","0.0075"
"1974m6","0.006"
"1974m7","0.007"
"1974m8","0.006"
"1974m9","0.0081"
"1974m10","0.0051"
"1974m11","0.0054"
"1974m12","0.007"
"1975m1","0.0058"
"1975m2","0.0043"
"1975m3","0.0041"
"1975m4","0.0044"
"1975m5","0.0044"
"1975m6","0.0041"
"1975m7","0.0048"
"1975m8","0.0048"
"1975m9","0.0053"
"1975m10","0.0056"
"1975m11","0.0041"
"1975m12","0.0048"
"1976m1","0.0047"
"1976m2","0.0034"
"1976m3","0.004"
"1976m4","0.0042"
"1976m5","0.0037"
"1976m6","0.0043"
"1976m7","0.0047"
"1976m8","0.0042"
"1976m9","0.0044"
"1976m10","0.0041"
"1976m11","0.004"
"1976m12","0.004"
"1977m1","0.0036"
"1977m2","0.0035"
"1977m3","0.0038"
"1977m4","0.0038"
"1977m5","0.0037"
"1977m6","0.004"
"1977m7","0.0042"
"1977m8","0.0044"
"1977m9","0.0043"
"1977m10","0.0049"
"1977m11","0.005"
"1977m12","0.0049"
"1978m1","0.0049"
"1978m2","0.0046"
"1978m3","0.0053"
"1978m4","0.0054"
"1978m5","0.0051"
"1978m6","0.0054"
"1978m7","0.0056"
"1978m8","0.0056"
"1978m9","0.0062"
"1978m10","0.0068"
"1978m11","0.007"
"1978m12","0.0078"
"1979m1","0.0077"
"1979m2","0.0073"
"1979m3","0.0081"
"1979m4","0.008"
"1979m5","0.0082"
"1979m6","0.0081"
"1979m7","0.0077"
"1979m8","0.0077"
"1979m9","0.0083"
"1979m10","0.0087"
"1979m11","0.0099"
"1979m12","0.0095"
"1980m1","0.008"
"1980m2","0.0089"
"1980m3","0.0121"
"1980m4","0.0126"
"1980m5","0.0081"
"1980m6","0.0061"
"1980m7","0.0053"
"1980m8","0.0064"
"1980m9","0.0075"
"1980m10","0.0095"
"1980m11","0.0096"
"1980m12","0.0131"
"1981m1","0.0104"
"1981m2","0.0107"
"1981m3","0.0121"
"1981m4","0.0108"
"1981m5","0.0115"
"1981m6","0.0135"
"1981m7","0.0124"
"1981m8","0.0128"
"1981m9","0.0124"
"1981m10","0.0121"
"1981m11","0.0107"
"1981m12","0.0087"
"1982m1","0.008"
"1982m2","0.0092"
"1982m3","0.0098"
"1982m4","0.0113"
"1982m5","0.0106"
"1982m6","0.0096"
"1982m7","0.0105"
"1982m8","0.0076"
"1982m9","0.0051"
"1982m10","0.0059"
"1982m11","0.0063"
"1982m12","0.0067"
"1983m1","0.0069"
"1983m2","0.0062"
"1983m3","0.0063"
"1983m4","0.0071"
"1983m5","0.0069"
"1983m6","0.0067"
"1983m7","0.0074"
"1983m8","0.0076"
"1983m9","0.0076"
"1983m10","0.0076"
"1983m11","0.007"
"1983m12","0.0073"
"1984m1","0.0076"
"1984m2","0.0071"
"1984m3","0.0073"
"1984m4","0.0081"
"1984m5","0.0078"
"1984m6","0.0075"
"1984m7","0.0082"
"1984m8","0.0083"
"1984m9","0.0086"
"1984m10","0.01"
"1984m11","0.0073"
"1984m12","0.0064"
"1985m1","0.0065"
"1985m2","0.0058"
"1985m3","0.0062"
"1985m4","0.0072"
"1985m5","0.0066"
"1985m6","0.0055"
"1985m7","0.0062"
"1985m8","0.0055"
"1985m9","0.006"
"1985m10","0.0065"
"1985m11","0.0061"
"1985m12","0.0065"
"1986m1","0.0056"
"1986m2","0.0053"
"1986m3","0.006"
"1986m4","0.0052"
"1986m5","0.0049"
"1986m6","0.0052"
"1986m7","0.0052"
"1986m8","0.0046"
"1986m9","0.0045"
"1986m10","0.0046"
"1986m11","0.0039"
"1986m12","0.0049"
"1987m1","0.0042"
"1987m2","0.0043"
"1987m3","0.0047"
"1987m4","0.0044"
"1987m5","0.0038"
"1987m6","0.0048"
"1987m7","0.0046"
"1987m8","0.0047"
"1987m9","0.0045"
"1987m10","0.006"
"1987m11","0.0035"
"1987m12","0.0039"
"1988m1","0.0029"
"1988m2","0.0046"
"1988m3","0.0044"
"1988m4","0.0046"
"1988m5","0.0051"
"1988m6","0.0049"
"1988m7","0.0051"
"1988m8","0.0059"
"1988m9","0.0062"
"1988m10","0.0061"
"1988m11","0.0057"
"1988m12","0.0063"
"1989m1","0.0055"
"1989m2","0.0061"
"1989m3","0.0067"
"1989m4","0.0067"
"1989m5","0.0079"
"1989m6","0.0071"
"1989m7","0.007"
"1989m8","0.0074"
"1989m9","0.0065"
"1989m10","0.0068"
"1989m11","0.0069"
"1989m12","0.0061"
"1990m1","0.0057"
"1990m2","0.0057"
"1990m3","0.0064"
"1990m4","0.0069"
"1990m5","0.0068"
"1990m6","0.0063"
"1990m7","0.0068"
"1990m8","0.0066"
"1990m9","0.006"
"1990m10","0.0068"
"1990m11","0.0057"
"1990m12","0.006"
"1991m1","0.0052"
"1991m2","0.0048"
"1991m3","0.0044"
"1991m4","0.0053"
"1991m5","0.0047"
"1991m6","0.0042"
"1991m7","0.0049"
"1991m8","0.0046"
"1991m9","0.0046"
"1991m10","0.0042"
"1991m11","0.0039"
"1991m12","0.0038"
"1992m1","0.0034"
"1992m2","0.0028"
"1992m3","0.0034"
"1992m4","0.0032"
"1992m5","0.0028"
"1992m6","0.0032"
"1992m7","0.0031"
"1992m8","0.0026"
"1992m9","0.0026"
"1992m10","0.0023"
"1992m11","0.0023"
"1992m12","0.0028"
"1993m1","0.0023"
"1993m2","0.0022"
"1993m3","0.0025"
"1993m4","0.0024"
"1993m5","0.0022"
"1993m6","0.0025"
"1993m7","0.0024"
"1993m8","0.0025"
"1993m9","0.0026"
"1993m10","0.0022"
"1993m11","0.0025"
"1993m12","0.0023"
"1994m1","0.0025"
"1994m2","0.0021"
"1994m3","0.0027"
"1994m4","0.0027"
"1994m5","0.0031"
"1994m6","0.0031"
"1994m7","0.0028"
"1994m8","0.0037"
"1994m9","0.0037"
"1994m10","0.0038"
"1994m11","0.0037"
"1994m12","0.0044"
"1995m1","0.0042"
"1995m2","0.004"
"1995m3","0.0046"
"1995m4","0.0044"
"1995m5","0.0054"
"1995m6","0.0047"
"1995m7","0.0045"
"1995m8","0.0047"
"1995m9","0.0043"
"1995m10","0.0047"
"1995m11","0.0042"
"1995m12","0.0049"
"1996m1","0.0043"
"1996m2","0.0039"
"1996m3","0.0039"
"1996m4","0.0046"
"1996m5","0.0042"
"1996m6","0.004"
"1996m7","0.0045"
"1996m8","0.0041"
"1996m9","0.0044"
"1996m10","0.0042"
"1996m11","0.0041"
"1996m12","0.0046"
"1997m1","0.0045"
"1997m2","0.0039"
"1997m3","0.0043"
"1997m4","0.0043"
"1997m5","0.0049"
"1997m6","0.0037"
"1997m7","0.0043"
"1997m8","0.0041"
"1997m9","0.0044"
"1997m10","0.0042"
"1997m11","0.0039"
"1997m12","0.0048"
"1998m1","0.0043"
"1998m2","0.0039"
"1998m3","0.0039"
"1998m4","0.0043"
"1998m5","0.004"
"1998m6","0.0041"
"1998m7","0.004"
"1998m8","0.0043"
"1998m9","0.0046"
"1998m10","0.0032"
"1998m11","0.0031"
"1998m12","0.0038"
"1999m1","0.0035"
"1999m2","0.0035"
"1999m3","0.0043"
"1999m4","0.0037"
"1999m5","0.0034"
"1999m6","0.004"
"1999m7","0.0038"
"1999m8","0.0039"
"1999m9","0.0039"
"1999m10","0.0039"
"1999m11","0.0036"
"1999m12","0.0044"
"2000m1","0.0041"
"2000m2","0.0043"
"2000m3","0.0047"
"2000m4","0.0046"
"2000m5","0.005"
"2000m6","0.004"
"2000m7","0.0048"
"2000m8","0.005"
"2000m9","0.0051"
"2000m10","0.0056"
"2000m11","0.0051"
"2000m12","0.005"
"2001m1","0.0054"
"2001m2","0.0038"
"2001m3","0.0042"
"2001m4","0.0039"
"2001m5","0.0032"
"2001m6","0.0028"
"2001m7","0.003"
"2001m8","0.0031"
"2001m9","0.0028"
"2001m10","0.0022"
"2001m11","0.0017"
"2001m12","0.0015"
"2002m1","0.0014"
"2002m2","0.0013"
"2002m3","0.0013"
"2002m4","0.0015"
"2002m5","0.0014"
"2002m6","0.0013"
"2002m7","0.0015"
"2002m8","0.0014"
"2002m9","0.0014"
"2002m10","0.0014"
"2002m11","0.0012"
"2002m12","0.0011"
"2003m1","0.001"
"2003m2","0.0009"
"2003m3","0.001"
"2003m4","0.001"
"2003m5","0.0009"
"2003m6","0.001"
"2003m7","0.0007"
"2003m8","0.0007"
"2003m9","0.0008"
"2003m10","0.0007"
"2003m11","0.0007"
"2003m12","0.0008"
"2004m1","0.0007"
"2004m2","0.0006"
"2004m3","0.0009"
"2004m4","0.0008"
"2004m5","0.0006"
"2004m6","0.0008"
"2004m7","0.001"
"2004m8","0.0011"
"2004m9","0.0011"
"2004m10","0.0011"
"2004m11","0.0015"
"2004m12","0.0016"
"2005m1","0.0016"
"2005m2","0.0016"
"2005m3","0.0021"
"2005m4","0.0021"
"2005m5","0.0024"
"2005m6","0.0023"
"2005m7","0.0024"
"2005m8","0.003"
"2005m9","0.0029"
"2005m10","0.0027"
"2005m11","0.0031"
"2005m12","0.0032"
"2006m1","0.0035"
"2006m2","0.0034"
"2006m3","0.0037"
"2006m4","0.0036"
"2006m5","0.0043"
"2006m6","0.004"
"2006m7","0.004"
"2006m8","0.0042"
"2006m9","0.0041"
"2006m10","0.0041"
"2006m11","0.0042"
"2006m12","0.004"
"2007m1","0.0044"
"2007m2","0.0038"
"2007m3","0.0043"
"2007m4","0.0044"
"2007m5","0.0041"
"2007m6","0.004"
"2007m7","0.004"
"2007m8","0.0042"
"2007m9","0.0032"
"2007m10","0.0032"
"2007m11","0.0034"
"2007m12","0.0027"
"2008m1","0.0021"
"2008m2","0.0013"
"2008m3","0.0017"
"2008m4","0.0018"
"2008m5","0.0018"
"2008m6","0.0017"
"2008m7","0.0015"
"2008m8","0.0013"
"2008m9","0.0015"
"2008m10","0.0008"
"2008m11","0.0003"
"2008m12","0"
"2009m1","0"
"2009m2","0.0001"
"2009m3","0.0002"
"2009m4","0.0001"
"2009m5","0"
"2009m6","0.0001"
"2009m7","0.0001"
"2009m8","0.0001"
"2009m9","0.0001"
"2009m10","0"
"2009m11","0"
"2009m12","0.0001"
"2010m1","0"
"2010m2","0"
"2010m3","0.0001"
"2010m4","0.0001"
"2010m5","0.0001"
"2010m6","0.0001"
"2010m7","0.0001"
"2010m8","0.0001"
"2010m9","0.0001"
"2010m10","0.0001"
"2010m11","0.0001"
"2010m12","0.0001"
"2011m1","0.0001"
"2011m2","0.0001"
"2011m3","0.0001"
"2011m4","0"
"2011m5","0"
"2011m6","0"
"2011m7","0"
"2011m8","0.0001"
"2011m9","0"
"2011m10","0"
"2011m11","0"
"2011m12","0"
"2012m1","0"
"2012m2","0"
"2012m3","0"
"2012m4","0"
"2012m5","0.0001"
"2012m6","0"
"2012m7","0"
"2012m8","0.0001"
"2012m9","0.0001"
"2012m10","0.0001"
"2012m11","0.0001"
"2012m12","0.0001"
"2013m1","0"
"2013m2","0"
"2013m3","0"
"2013m4","0"
"2013m5","0"
"2013m6","0"
"2013m7","0"
"2013m8","0"
"2013m9","0"
"2013m10","0"
"2013m11","0"
"2013m12","0"
"2014m1","0"
"2014m2","0"
"2014m3","0"
"2014m4","0"
"2014m5","0"
"2014m6","0"
"2014m7","0"
"2014m8","0"
"2014m9","0"
"2014m10","0"
"2014m11","0"
"2014m12","0"
"2015m1","0"
"2015m2","0"
"2015m3","0"
"2015m4","0"
"2015m5","0"
"2015m6","0"
"2015m7","0"
"2015m8","0"
"2015m9","0"
"2015m10","0"
"2015m11","0"
"2015m12","0.0001"
"2016m1","0.0001"
"2016m2","0.0002"
"2016m3","0.0002"
"2016m4","0.0001"
"2016m5","0.0001"
"2016m6","0.0002"
"2016m7","0.0002"
